original_id,related_question_id,jaccard_distance,length_difference,relevance
Q1,Q1_R1,0.8421052631578947,23,PerfectMatch
Q1,Q1_R6,0.8863636363636364,244,Relevant
Q1,Q1_R8,0.9069767441860465,214,Irrelevant
Q1,Q1_R10,0.8918918918918919,169,Relevant
Q1,Q1_R22,0.9230769230769231,13,Irrelevant
Q1,Q1_R25,0.9722222222222222,236,Irrelevant
Q1,Q1_R27,0.9444444444444444,6,Irrelevant
Q1,Q1_R32,0.9629629629629629,89,PerfectMatch
Q1,Q1_R43,0.9807692307692307,290,Irrelevant
Q1,Q1_R46,0.9047619047619048,170,Irrelevant
